sourceName,region,system,side,signal,detail,triangles
Procerus muscle.el,head-jaw,insertion,l,parent,Procerus muscle.l,17
Procerus muscle.ol,head-jaw,insertion,l,parent,Procerus muscle.l,18
Procerus muscle.or,head-jaw,insertion,r,parent,Procerus muscle.r,18
Temporalis muscle.el,head-jaw,insertion,l,parent,Temporalis muscle.l,135
Temporalis muscle.er,head-jaw,insertion,r,parent,Temporalis muscle.r,135
Temporalis muscle.o1l,head-jaw,insertion,l,parent,Temporalis muscle.l,94
Temporalis muscle.o1r,head-jaw,insertion,r,parent,Temporalis muscle.r,94
Temporalis muscle.o2l,head-jaw,insertion,l,parent,Temporalis muscle.l,232
Temporalis muscle.o2r,head-jaw,insertion,r,parent,Temporalis muscle.r,232
Temporalis muscle.o3l,head-jaw,insertion,l,parent,Temporalis muscle.l,91
Temporalis muscle.o3r,head-jaw,insertion,r,parent,Temporalis muscle.r,91
Temporalis muscle.o4l,head-jaw,insertion,l,parent,Temporalis muscle.l,412
Temporalis muscle.o4r,head-jaw,insertion,r,parent,Temporalis muscle.r,412
Zygomaticus major muscle.ol,head-jaw,insertion,l,parent,Zygomaticus major muscle.l,8
Zygomaticus major muscle.or,head-jaw,insertion,r,parent,Zygomaticus major muscle.r,8
Zygomaticus minor muscle.ol,head-jaw,insertion,l,parent,Zygomaticus minor muscle.l,10
Zygomaticus minor muscle.or,head-jaw,insertion,r,parent,Zygomaticus minor muscle.r,10
Bucinator.l,head-jaw,muscular,l,hierarchy,Muscles of head,884
Bucinator.r,head-jaw,muscular,r,hierarchy,Muscles of head,884
Common tendinous ring.l,head-jaw,muscular,l,hierarchy,Muscles of head,362
Common tendinous ring.r,head-jaw,muscular,r,hierarchy,Muscles of head,362
Corrugator supercilii.l,head-jaw,muscular,l,hierarchy,Muscles of head,278
Corrugator supercilii.r,head-jaw,muscular,r,hierarchy,Muscles of head,278
Deep part of masseter.l,head-jaw,muscular,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,994
Deep part of masseter.r,head-jaw,muscular,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,994
Depressor anguli oris.l,head-jaw,muscular,l,hierarchy,Muscles of head,594
Depressor anguli oris.r,head-jaw,muscular,r,hierarchy,Muscles of head,594
Depressor labii inferioris.l,head-jaw,muscular,l,hierarchy,Muscles of head,832
Depressor labii inferioris.r,head-jaw,muscular,r,hierarchy,Muscles of head,832
Depressor septi nasi.l,head-jaw,muscular,l,hierarchy,Muscles of head,276
Depressor septi nasi.r,head-jaw,muscular,r,hierarchy,Muscles of head,276
Epicranial aponeurosis.l,head-jaw,muscular,l,hierarchy,Muscles of head,20118
Epicranial aponeurosis.r,head-jaw,muscular,r,hierarchy,Muscles of head,20118
Frontalis muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,5874
Frontalis muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,5874
Genioglossus muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,3746
Genioglossus muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,3746
Hyoglossus muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,1424
Hyoglossus muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,1424
Inferior head of lateral pterygoid muscle.l,head-jaw,muscular,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,326
Inferior head of lateral pterygoid muscle.r,head-jaw,muscular,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,326
Inferior oblique muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,1148
Inferior oblique muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,1148
Inferior rectus muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,1736
Inferior rectus muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,1736
Inferior tarsus.l,head-jaw,muscular,l,hierarchy,Muscles of head,108
Inferior tarsus.r,head-jaw,muscular,r,hierarchy,Muscles of head,108
Lateral rectus muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,1600
Lateral rectus muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,1600
Levator anguli oris.l,head-jaw,muscular,l,hierarchy,Muscles of head,330
Levator anguli oris.r,head-jaw,muscular,r,hierarchy,Muscles of head,330
Levator labii superioris.l,head-jaw,muscular,l,hierarchy,Muscles of head,540
Levator labii superioris.r,head-jaw,muscular,r,hierarchy,Muscles of head,540
Levator nasolabialis.l,head-jaw,muscular,l,hierarchy,Muscles of head,172
Levator nasolabialis.r,head-jaw,muscular,r,hierarchy,Muscles of head,172
Levator palpebrae superioris.l,head-jaw,muscular,l,hierarchy,Muscles of head,2152
Levator palpebrae superioris.r,head-jaw,muscular,r,hierarchy,Muscles of head,2152
Masseteric fascia.l,head-jaw,muscular,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,398
Masseteric fascia.r,head-jaw,muscular,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,398
Medial pterygoid muscle.l,head-jaw,muscular,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,496
Medial pterygoid muscle.r,head-jaw,muscular,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,496
Medial rectus muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,1252
Medial rectus muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,1252
Mentalis muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,166
Mentalis muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,166
Nasalis muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,704
Nasalis muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,704
Occipitalis muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,2602
Occipitalis muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,2602
Orbicularis oris muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,1880
Orbicularis oris muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,1880
Orbital part of orbicularis oculi.l,head-jaw,muscular,l,hierarchy,Muscles of head,2390
Orbital part of orbicularis oculi.r,head-jaw,muscular,r,hierarchy,Muscles of head,2390
Palpebral part of orbicularis oculi.l,head-jaw,muscular,l,hierarchy,Muscles of head,830
Palpebral part of orbicularis oculi.r,head-jaw,muscular,r,hierarchy,Muscles of head,830
Procerus muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,546
Procerus muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,546
Risorius muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,592
Risorius muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,592
Superficial layer of temporal fascia.l,head-jaw,muscular,l,hierarchy,division:Head,685
Superficial layer of temporal fascia.r,head-jaw,muscular,r,hierarchy,division:Head,685
Superficial part of masseter.l,head-jaw,muscular,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,1404
Superficial part of masseter.r,head-jaw,muscular,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,1404
Superior head of lateral pterygoid muscle.l,head-jaw,muscular,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,226
Superior head of lateral pterygoid muscle.r,head-jaw,muscular,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,226
Superior oblique muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,1750
Superior oblique muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,1750
Superior rectus muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,1284
Superior rectus muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,1284
Superior tarsus.l,head-jaw,muscular,l,hierarchy,Muscles of head,178
Superior tarsus.r,head-jaw,muscular,r,hierarchy,Muscles of head,178
Temporalis muscle.l,head-jaw,muscular,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,10260
Temporalis muscle.r,head-jaw,muscular,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,10260
Temporoparietalis muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,11972
Temporoparietalis muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,11972
Trochlea of superior oblique muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,192
Trochlea of superior oblique muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,192
Zygomaticus major muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,798
Zygomaticus major muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,798
Zygomaticus minor muscle.l,head-jaw,muscular,l,hierarchy,Muscles of head,432
Zygomaticus minor muscle.r,head-jaw,muscular,r,hierarchy,Muscles of head,432
Anterior cells of ethmoid bone.l,head-jaw,skeletal,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,136
Anterior cells of ethmoid bone.r,head-jaw,skeletal,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,136
Ethmoid bone,head-jaw,skeletal,,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,4215
Frontal bone,head-jaw,skeletal,,hierarchy,Cranium,7776
Inferior nasal concha bone.l,head-jaw,skeletal,l,hierarchy,Cranium,476
Inferior nasal concha bone.r,head-jaw,skeletal,r,hierarchy,Cranium,476
Lacrimal bone.l,head-jaw,skeletal,l,hierarchy,Cranium,588
Lacrimal bone.r,head-jaw,skeletal,r,hierarchy,Cranium,588
Lateral process of nasal septal cartilage.l,head-jaw,skeletal,l,hierarchy,Cranium,347
Lateral process of nasal septal cartilage.r,head-jaw,skeletal,r,hierarchy,Cranium,347
Lower canine.l,head-jaw,skeletal,l,hierarchy,Teeth,1276
Lower canine.r,head-jaw,skeletal,r,hierarchy,Teeth,1276
Lower first molar tooth.l,head-jaw,skeletal,l,hierarchy,Teeth,4508
Lower first molar tooth.r,head-jaw,skeletal,r,hierarchy,Teeth,4508
Lower first premolar.l,head-jaw,skeletal,l,hierarchy,Teeth,1222
Lower first premolar.r,head-jaw,skeletal,r,hierarchy,Teeth,1222
Lower lateral incisor.l,head-jaw,skeletal,l,hierarchy,Teeth,1040
Lower lateral incisor.r,head-jaw,skeletal,r,hierarchy,Teeth,1040
Lower medial incisor.l,head-jaw,skeletal,l,hierarchy,Teeth,984
Lower medial incisor.r,head-jaw,skeletal,r,hierarchy,Teeth,984
Lower second molar tooth.l,head-jaw,skeletal,l,hierarchy,Teeth,1676
Lower second molar tooth.r,head-jaw,skeletal,r,hierarchy,Teeth,1676
Lower second premolar.l,head-jaw,skeletal,l,hierarchy,Teeth,1180
Lower second premolar.r,head-jaw,skeletal,r,hierarchy,Teeth,1180
Major alar cartilage.l,head-jaw,skeletal,l,hierarchy,Cranium,344
Major alar cartilage.r,head-jaw,skeletal,r,hierarchy,Cranium,344
Mandible,head-jaw,skeletal,,hierarchy,Mandible,18838
Maxilla.l,head-jaw,skeletal,l,hierarchy,Cranium,4798
Maxilla.r,head-jaw,skeletal,r,hierarchy,Cranium,4798
Middle cells of ethmoid bone.l,head-jaw,skeletal,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,160
Middle cells of ethmoid bone.r,head-jaw,skeletal,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,160
Nasal bone.l,head-jaw,skeletal,l,hierarchy,Cranium,292
Nasal bone.r,head-jaw,skeletal,r,hierarchy,Cranium,292
Nasal septal cartilage,head-jaw,skeletal,,hierarchy,Cranium,360
Occipital bone,head-jaw,skeletal,,hierarchy,Cranium,7531
Palatine bone.l,head-jaw,skeletal,l,hierarchy,Cranium,1460
Palatine bone.r,head-jaw,skeletal,r,hierarchy,Cranium,1460
Parietal bone.l,head-jaw,skeletal,l,hierarchy,Cranium,6886
Parietal bone.r,head-jaw,skeletal,r,hierarchy,Cranium,6780
Posterior cells of ethmoid bone.l,head-jaw,skeletal,l,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,216
Posterior cells of ethmoid bone.r,head-jaw,skeletal,r,override,ethmoid air cells carry no collection tags; the masticator insertions are named as a group,216
Sinus of frontal bone,head-jaw,skeletal,,hierarchy,Cranium,1504
Sinus of sphenoid bone,head-jaw,skeletal,,hierarchy,Cranium,384
Sphenoid bone,head-jaw,skeletal,,hierarchy,Cranium,7308
Temporal bone.l,head-jaw,skeletal,l,hierarchy,Cranium,14094
Temporal bone.r,head-jaw,skeletal,r,hierarchy,Cranium,14094
Upper canine.l,head-jaw,skeletal,l,hierarchy,Cranium,1470
Upper canine.r,head-jaw,skeletal,r,hierarchy,Cranium,1470
Upper first molar tooth.l,head-jaw,skeletal,l,hierarchy,Cranium,2176
Upper first molar tooth.r,head-jaw,skeletal,r,hierarchy,Cranium,2176
Upper first premolar.l,head-jaw,skeletal,l,hierarchy,Cranium,1684
Upper first premolar.r,head-jaw,skeletal,r,hierarchy,Cranium,1684
Upper lateral incisor.l,head-jaw,skeletal,l,hierarchy,Cranium,1454
Upper lateral incisor.r,head-jaw,skeletal,r,hierarchy,Cranium,1454
Upper medial incisor.l,head-jaw,skeletal,l,hierarchy,Cranium,1368
Upper medial incisor.r,head-jaw,skeletal,r,hierarchy,Cranium,1368
Upper second molar tooth.l,head-jaw,skeletal,l,hierarchy,Cranium,1844
Upper second molar tooth.r,head-jaw,skeletal,r,hierarchy,Cranium,1844
Upper second premolar.l,head-jaw,skeletal,l,hierarchy,Cranium,1554
Upper second premolar.r,head-jaw,skeletal,r,hierarchy,Cranium,1554
Vomer,head-jaw,skeletal,,hierarchy,Cranium,1022
Zygomatic bone.l,head-jaw,skeletal,l,hierarchy,Cranium,1328
Zygomatic bone.r,head-jaw,skeletal,r,hierarchy,Cranium,1328
Cricopharyngeal ligament.l,cervical,articular,l,hierarchy,Laryngeal joints,3119
Cricopharyngeal ligament.r,cervical,articular,r,hierarchy,Laryngeal joints,3119
Intervertebral disc C2-C3,cervical,articular,,override,cervical level,848
Intervertebral disc C3-C4,cervical,articular,,override,cervical level,688
Intervertebral disc C4-C5,cervical,articular,,override,cervical level,856
Intervertebral disc C5-C6,cervical,articular,,override,cervical level,968
Intervertebral disc C6-C7,cervical,articular,,override,cervical level,834
Intervertebral disc C7-T1,cervical,articular,,override,cervical level,1168
Lateral thyrohyoid ligament.l,cervical,articular,l,hierarchy,Laryngeal joints,912
Lateral thyrohyoid ligament.r,cervical,articular,r,hierarchy,Laryngeal joints,912
Median cricothyroid ligament,cervical,articular,,hierarchy,Laryngeal joints,1958
Median thyrohyoid ligament,cervical,articular,,hierarchy,Laryngeal joints,2771
Nuchal ligament,cervical,articular,,override,named cervical / capital part; hyoid and nuchal ligament,63
Nucleus pulposus C2-C3,cervical,articular,,override,cervical level,960
Nucleus pulposus C3-C4,cervical,articular,,override,cervical level,960
Nucleus pulposus C4-C5,cervical,articular,,override,cervical level,960
Nucleus pulposus C5-C6,cervical,articular,,override,cervical level,960
Nucleus pulposus C6-C7,cervical,articular,,override,cervical level,960
Nucleus pulposus C7-T1,cervical,articular,,override,cervical level,960
Quadrangular membrane.l,cervical,articular,l,hierarchy,Laryngeal joints,4592
Quadrangular membrane.r,cervical,articular,r,hierarchy,Laryngeal joints,4592
Anterior belly of digastric muscle.el,cervical,insertion,l,parent,Anterior belly of digastric muscle.l,15
Anterior belly of digastric muscle.er,cervical,insertion,r,parent,Anterior belly of digastric muscle.r,15
Geniohyoid muscle.el,cervical,insertion,l,parent,Geniohyoid muscle.l,39
Geniohyoid muscle.er,cervical,insertion,r,parent,Geniohyoid muscle.r,39
Geniohyoid muscle.ol,cervical,insertion,l,parent,Geniohyoid muscle.l,7
Geniohyoid muscle.or,cervical,insertion,r,parent,Geniohyoid muscle.r,7
Iliocostalis colli muscle.el,cervical,insertion,l,parent,Iliocostalis colli muscle.r,22
Iliocostalis colli muscle.er,cervical,insertion,r,parent,Iliocostalis colli muscle.r,22
Levator scapulae.el,cervical,insertion,l,parent,Levator scapulae.l,897
Levator scapulae.er,cervical,insertion,r,parent,Levator scapulae.r,897
Levator scapulae.o1l,cervical,insertion,l,parent,Levator scapulae.l,8
Levator scapulae.o1r,cervical,insertion,r,parent,Levator scapulae.r,8
Levator scapulae.o2l,cervical,insertion,l,parent,Levator scapulae.l,30
Levator scapulae.o2r,cervical,insertion,r,parent,Levator scapulae.r,30
Levator scapulae.o3l,cervical,insertion,l,parent,Levator scapulae.l,31
Levator scapulae.o3r,cervical,insertion,r,parent,Levator scapulae.r,31
Levator scapulae.ol,cervical,insertion,l,parent,Levator scapulae.l,14
Levator scapulae.or,cervical,insertion,r,parent,Levator scapulae.r,14
Longus capitis muscle.ol,cervical,insertion,l,parent,Longus capitis muscle.l,8
Longus capitis muscle.or,cervical,insertion,r,parent,Longus capitis muscle.r,8
Mylohyoid muscle.ol,cervical,insertion,l,parent,Mylohyoid muscle.l,25
Mylohyoid muscle.or,cervical,insertion,r,parent,Mylohyoid muscle.r,25
Obliquus inferior capitis muscle.el,cervical,insertion,l,parent,Obliquus inferior capitis muscle.l,26
Obliquus inferior capitis muscle.er,cervical,insertion,r,parent,Obliquus inferior capitis muscle.r,26
Obliquus inferior capitis muscle.ol,cervical,insertion,l,parent,Obliquus inferior capitis muscle.l,14
Obliquus inferior capitis muscle.or,cervical,insertion,r,parent,Obliquus inferior capitis muscle.r,14
Obliquus superior capitis muscle.ol,cervical,insertion,l,parent,Obliquus superior capitis muscle.l,38
Obliquus superior capitis muscle.or,cervical,insertion,r,parent,Obliquus superior capitis muscle.r,38
Omohyoid muscle.el,cervical,insertion,l,parent,Omohyoid muscle.l,15
Omohyoid muscle.er,cervical,insertion,r,parent,Omohyoid muscle.r,15
Omohyoid muscle.ol,cervical,insertion,l,parent,Omohyoid muscle.l,73
Omohyoid muscle.or,cervical,insertion,r,parent,Omohyoid muscle.r,73
Rectus anterior capitis muscle.el,cervical,insertion,l,parent,Rectus anterior capitis muscle.l,21
Rectus anterior capitis muscle.er,cervical,insertion,r,parent,Rectus anterior capitis muscle.r,21
Rectus anterior capitis muscle.ol,cervical,insertion,l,parent,Rectus anterior capitis muscle.l,7
Rectus anterior capitis muscle.or,cervical,insertion,r,parent,Rectus anterior capitis muscle.r,7
Rectus lateralis capitis muscle.ol,cervical,insertion,l,parent,Rectus lateralis capitis muscle.l,31
Rectus lateralis capitis muscle.or,cervical,insertion,r,parent,Rectus lateralis capitis muscle.r,31
Rectus posterior major capitis muscle.el,cervical,insertion,l,parent,Rectus posterior major capitis muscle.l,19
Rectus posterior major capitis muscle.er,cervical,insertion,r,parent,Rectus posterior major capitis muscle.r,19
Rectus posterior major capitis muscle.ol,cervical,insertion,l,parent,Rectus posterior major capitis muscle.l,17
Rectus posterior major capitis muscle.or,cervical,insertion,r,parent,Rectus posterior major capitis muscle.r,17
Rectus posterior minor capitis muscle.el,cervical,insertion,l,parent,Rectus posterior minor capitis muscle.l,33
Rectus posterior minor capitis muscle.er,cervical,insertion,r,parent,Rectus posterior minor capitis muscle.r,33
Rectus posterior minor capitis muscle.ol,cervical,insertion,l,parent,Rectus posterior minor capitis muscle.l,17
Rectus posterior minor capitis muscle.or,cervical,insertion,r,parent,Rectus posterior minor capitis muscle.r,17
Scalenus anterior muscle.e1l,cervical,insertion,l,parent,Scalenus anterior muscle.l,18
Scalenus anterior muscle.e1r,cervical,insertion,r,parent,Scalenus anterior muscle.r,18
Scalenus anterior muscle.e2l,cervical,insertion,l,parent,Scalenus anterior muscle.l,10
Scalenus anterior muscle.e2r,cervical,insertion,r,parent,Scalenus anterior muscle.r,10
Scalenus anterior muscle.el,cervical,insertion,l,parent,Scalenus anterior muscle.l,24
Scalenus anterior muscle.er,cervical,insertion,r,parent,Scalenus anterior muscle.r,24
Scalenus anterior muscle.ol,cervical,insertion,l,parent,Scalenus anterior muscle.l,78
Scalenus anterior muscle.or,cervical,insertion,r,parent,Scalenus anterior muscle.r,78
Scalenus medius muscle.e1l,cervical,insertion,l,parent,Scalenus medius muscle.l,27
Scalenus medius muscle.e1r,cervical,insertion,r,parent,Scalenus medius muscle.r,27
Scalenus medius muscle.el,cervical,insertion,l,parent,Scalenus medius muscle.l,39
Scalenus medius muscle.er,cervical,insertion,r,parent,Scalenus medius muscle.r,39
Scalenus medius muscle.ol,cervical,insertion,l,parent,Scalenus medius muscle.l,102
Scalenus medius muscle.or,cervical,insertion,r,parent,Scalenus medius muscle.r,102
Scalenus posterior muscle.el,cervical,insertion,l,parent,Scalenus posterior muscle.l,40
Scalenus posterior muscle.er,cervical,insertion,r,parent,Scalenus posterior muscle.r,40
Spinalis capitis muscle.el,cervical,insertion,l,parent,Spinalis capitis muscle.l,25
Spinalis capitis muscle.er,cervical,insertion,r,parent,Spinalis capitis muscle.r,25
Splenius colli muscle.e1l,cervical,insertion,l,parent,Splenius colli muscle.l,46
Splenius colli muscle.e1r,cervical,insertion,r,parent,Splenius colli muscle.r,46
Splenius colli muscle.el,cervical,insertion,l,parent,Splenius colli muscle.l,17
Splenius colli muscle.er,cervical,insertion,r,parent,Splenius colli muscle.r,17
Sternocleidomastoid muscle.el,cervical,insertion,l,parent,Sternocleidomastoid muscle.l,210
Sternocleidomastoid muscle.er,cervical,insertion,r,parent,Sternocleidomastoid muscle.r,210
Sternocleidomastoid muscle.o1l,cervical,insertion,l,parent,Sternocleidomastoid muscle.l,28
Sternocleidomastoid muscle.o1r,cervical,insertion,r,parent,Sternocleidomastoid muscle.r,28
Sternocleidomastoid muscle.ol,cervical,insertion,l,parent,Sternocleidomastoid muscle.l,80
Sternocleidomastoid muscle.or,cervical,insertion,r,parent,Sternocleidomastoid muscle.r,80
Sternohyoid muscle.el,cervical,insertion,l,parent,Sternohyoid muscle.l,33
Sternohyoid muscle.er,cervical,insertion,r,parent,Sternohyoid muscle.r,33
Sternohyoid muscle.ol,cervical,insertion,l,parent,Sternohyoid muscle.l,113
Sternohyoid muscle.or,cervical,insertion,r,parent,Sternohyoid muscle.r,113
Thyrohyoid muscle.el,cervical,insertion,l,parent,Thyrohyoid muscle.l,80
Thyrohyoid muscle.er,cervical,insertion,r,parent,Thyrohyoid muscle.r,80
Thyrohyoid muscle.ol,cervical,insertion,l,parent,Thyrohyoid muscle.l,34
Thyrohyoid muscle.or,cervical,insertion,r,parent,Thyrohyoid muscle.r,34
Anterior belly of digastric muscle.l,cervical,muscular,l,hierarchy,Muscles of neck,392
Anterior belly of digastric muscle.r,cervical,muscular,r,hierarchy,Muscles of neck,392
Ary-epiglottic part of oblique arytenoid muscle.l,cervical,muscular,l,hierarchy,Muscles of neck,1022
Ary-epiglottic part of oblique arytenoid muscle.r,cervical,muscular,r,hierarchy,Muscles of neck,1022
External part of thyro-arytenoid muscle.l,cervical,muscular,l,hierarchy,Muscles of neck,2236
External part of thyro-arytenoid muscle.r,cervical,muscular,r,hierarchy,Muscles of neck,2236
Geniohyoid muscle.l,cervical,muscular,l,hierarchy,Muscles of neck,530
